35514,NN
30487,IN
27486,DT
23507,VBD
22757,PRP
19105,RB
17351,JJ
17100,@
17085,
11026,NNP
10476,VB
9230,NNS
8984,CC
6799,TO
6022,VBG
6016,VBN
4811,PRP$
4638,VBP
3458,VBZ
2851,MD
2155,CD
2066,WP
2029,RP
1990,WDT
1559,WRB
1024,:
1005,UH
701,EX
479,JJR
447,JJS
347,RBR
335,PDT
312,NNPS
151,RBS
61,FW
28,WP$
11,SYM
4,LS
